Id,target
0,-550.1784140088895
6,-428.70913738484825
7,4.171812961459594
8,-547.9205128341694
12,666.9754297145166
14,-383.15137286367485
17,200.85593473052606
19,154.97019464576138
22,505.0004656707315
23,398.6053680198922
25,-659.9893565608943
26,-320.82015027016047
29,-66.21110805343298
30,-397.64198365753714
31,111.22476924394547
32,429.4081429266072
33,-1338.4669087576556
43,344.83429298433026
44,-930.2918617728664
45,-74.53384663699288
47,-194.52006011799804
48,-465.58531631545435
51,-200.81895614905855
52,-119.95385156824298
56,234.26144325269536
58,-92.03320159795061
59,-237.1949779874973
61,-192.28958354901883
63,-292.4774216066856
65,177.87499315148517
67,-294.57376776930494
68,417.49771366709734
69,-241.3033036434506
70,157.16767191949532
73,-696.5862007388561
75,-324.9486715222299
76,398.56774900219057
79,413.946474794914
80,-170.1147310616917
82,648.1413671289902
84,314.2147279023153
87,22.97599641624814
88,299.22358102188616
90,123.76597707641855
92,-650.4692896436219
93,-368.12355957527626
95,188.25740685629256
96,-288.36326172658147
99,103.97938008727081
100,-56.29415823849925
102,895.1492131113819
103,-449.9999325543377
106,-565.3951587929411
108,595.8019380752714
109,-868.7308140378179
111,72.47419369446725
112,256.424934569097
113,204.62331120070823
120,545.7987040744159
121,-353.71952516273967
122,-435.48337683569906
124,-38.861581702969055
131,-810.217100916117
132,-633.9162765192619
134,208.21177122879305
135,129.80337759900956
138,-122.13560168065023
139,-52.7655920147231
141,56.13193972072855
144,-644.2707869980093
149,-22.70469847427234
150,355.28590838543727
151,138.33450781641156
152,-759.7185807636027
155,-35.18868241588176
156,412.7048077829073
157,1134.5441205130107
162,35.35699207002824
166,455.79332899110847
168,-216.69816897729297
170,856.2434037041257
173,652.3379491955761
174,870.9517039980849
175,458.515949398103
176,1091.4221750944196
177,69.18284037008083
178,233.91610066218368
179,624.3671270560898
180,-241.59025069243444
183,639.5529184296761
184,423.9602894848118
187,94.0295678084256
188,1357.5113362365664
191,322.0521267554169
192,-142.76269358010106
194,455.2730180421534
195,-336.25407243857796
196,471.8322437659959
198,1249.3628233315344
199,-528.0315395338852
203,-145.01391168282083
204,-807.4292082389516
205,-26.48793186829771
208,119.00955973541664
209,-282.3109555202114
210,-377.4171142952126
211,412.71836556748275
212,-382.05627939201554
214,283.0320853900118
217,-585.2367697888814
218,-389.3031826263934
219,-514.0450509965355
220,99.82082994820188
221,554.6377061186927
222,-386.53635846574605
226,-2.71637283946826
227,-261.4958921928829
228,477.9093215869431
229,526.0157018169984
230,242.16263211888287
233,52.464326141946486
234,317.5117805867217
238,-537.2349068551606
239,-556.6300804046815
240,44.72165902253228
245,-494.25401300461584
246,-362.0798757734253
247,-54.6206478734221
248,124.90906429500785
251,638.5478244475279
252,-68.54098635944997
254,-108.07652622603328
256,-366.4314803691137
257,-828.1616041622661
258,363.3975646762246
259,409.26943862114416
263,133.25756710621934
264,-248.04558614197867
266,-471.6228276512851
267,89.75300658953624
268,263.14782849466576
270,-110.54964315101944
272,318.20196360593013
274,-263.65269894092216
276,-340.98736542448376
278,-287.4789279687621
279,762.6682143451278
282,300.8100759182542
283,-165.93752143205467
286,-215.87384942058867
287,-324.6101420246902
288,-1010.0603663431679
289,-317.03474123992186
290,814.7978062684515
291,428.79735116167546
293,-310.4080892574709
295,901.6301891391527
296,-135.18995424089007
297,522.1215628964499
298,-126.49182947080205
299,204.04865074638784
305,-80.49735689242965
308,-296.43951439829783
309,-74.17081834506156
313,209.83956395533744
314,-139.3957024349026
315,-68.99929570018735
318,-20.225048191608767
319,949.9551687506525
321,480.12356513304866
322,4.052427459693501
324,-168.31539047403132
325,195.25054694497277
328,106.75548077549107
330,-517.9604752378576
331,314.753511699016
332,400.30564790406794
333,-40.02444510112847
336,134.36385184221115
342,84.46331770915927
343,100.44259802266927
346,-143.7024714956466
350,254.78802256333285
351,-427.5239694203566
353,637.2192285446624
354,17.158452085321226
356,200.93309260065558
358,307.1274163585099
360,483.16602648193305
361,227.1290588990984
366,-481.4769383603473
367,-68.19841270799162
368,159.2303800138084
370,-553.6875237256389
371,485.4802947151486
373,-175.7668103129074
376,248.76936789282126
378,635.0408340477862
381,-355.46581932015886
382,727.237233383904
383,-536.991138054122
386,-10.5740120957396
387,102.25316256725844
393,719.2569997415774
396,1557.5113557103214
397,967.3698797195135
402,262.54395697359683
408,-175.39925114037456
410,632.4894340943898
411,1159.3161709136668
413,117.59664624113486
414,-479.9646304098174
415,-392.09131165717
416,113.17162436627578
418,-1060.242582640228
420,-679.4909454191081
422,-167.71335629319017
423,974.5850799807414
426,268.62317229426714
429,66.61767291603644
430,483.4829867016645
432,-343.6584999480283
433,-46.65749003807166
434,41.14987449241663
436,-265.7586441443728
437,780.1062389077166
438,264.0174569244672
439,-492.3615260157351
442,263.66128679281843
443,24.378220649015045
445,166.11567392952892
446,666.59038445129
448,-885.5244658124608
449,-35.03492111949841
450,466.25108374983125
452,-45.164208679063634
457,38.00357091978415
460,1062.6529545012918
461,-213.60957903541427
462,44.83712013801326
463,-315.71757057617043
465,-687.2269385128623
468,240.1006736115611
471,740.0532413146448
472,-10.572640979085664
475,-307.71616602565433
478,3.3025587669878114
479,-292.7183392277633
484,64.14016996536934
485,-458.24346355522
486,-123.0726686302632
487,-299.43597560573323
490,574.5452672082984
491,-250.10069023116029
494,-634.2157948896648
495,-286.6591678925608
497,192.41239649957743
498,5.3915769506786795
500,-276.0258496922229
501,-327.38866874987264
505,567.9121650684501
506,441.2452183454166
507,-433.0503095351978
508,-453.44815267133646
511,207.3954175512002
517,503.46345259425027
518,-42.85272780572285
521,-597.4331066253409
522,30.81089826063506
527,-481.048410810051
528,1021.0227022800981
530,-55.247176803578796
531,794.3904205771512
532,-102.93314096331656
